CellID, Experimenter, Species, Channel, CellType, Path, Status
372_1, MPG, Mouse, ch2, CA1PC, \001_150303_A2_CA1py_MPG Folder\001_150303_A2_CA1py_MPG Folder, 1
373_1, MPG, Mouse, ch2, CA1PC, \001_150304_A1_CA1py_MPG Folder\001_150304_A1_CA1py_MPG Folder, 1
374_1, MPG, Mouse, ch2, CA1PC, \001_150304_A2_CA1py_MPG Folder\001_150304_A2_CA1py_MPG Folder, 1
375_1, MPG, Mouse, ch2, CA1PC, \001_150304_A3_CA1py_MPG Folder\001_150304_A3_CA1py_MPG Folder, 1
376_1, MPG, Rat, ch2, CA1PC, \001_150305_A1_CA1py_R_MPG Folder\001_150305_A1_CA1py_R_MPG Folder, 1
281_1, OH, Mouse, ch2, SNcDAProj, \001_140908A04_OH\001_140908A4MMP15SNcDA_OH, 1
377_1, OH, Mouse, ch2, SNcDAProj, \001_140402A01_OH\001_140402A1MMP15SNcDA_OH, 1
378_1, OH, Mouse, ch2, SNcDAProj, \001_140402A02_OH\001_140402A2MMP15SNcDA_OH, 1
379_1, OH, Mouse, ch2, SNcDAProj, \001_140402A03_OH\001_140402A3MMP15SNcDA_OH, 1
380_1, OH, Mouse, ch2, SNcDAProj, \001_140402A04_OH\001_140402A4MMP15SNcDA_OH, 1
381_1, OH, Mouse, ch2, SNcDAProj, \001_140402B01_OH\001_140402B1MMP15SNcDA_OH, 1
382_1, OH, Mouse, ch2, SNcDAProj, \001_140402B02_OH\001_140402B2MMP15SNcDA_OH, 1
383_1, OH, Mouse, ch2, SNcDAProj, \001_140731A01_OH\001_140731A1MMP13SNcDA_OH, 1
384_1, OH, Mouse, ch2, SNcDAProj, \001_140731A02_OH\001_140731A2MMP13SNcDA_OH, 1
385_1, OH, Mouse, ch2, SNcDAProj, \001_140731A03_OH\001_140731A3MMP13SNcDA_OH, 1
386_1, OH, Mouse, ch2, SNcDAProj, \001_140731A04_OH\001_140731A4MMP13SNcDA_OH, 1
387_1, OH, Mouse, ch2, SNcDAProj, \001_141028A01_OH\001_141028A1MMP13SNcDA_OH, 1
388_1, OH, Mouse, ch2, SNcDAProj, \001_141028A02_OH\001_141028A2MMP13SNcDA_OH, 1
389_1, OH, Mouse, ch2, SNcDAProj, \001_141028A03_OH\001_141028A3MMP13SNcDA_OH, 1
390_1, OH, Mouse, ch2, SNcDAProj, \001_141028A04_OH\001_141028A4MMP13SNcDA_OH, 1
391_1, OH, Mouse, ch2, SNcDAProj, \001_141028A05_OH\001_141028A5MMP13SNcDA_OH, 1
